time,gFx,gFy,gFz,TgF
0.001945938,-0.0486,0.5267,0.7413,0.911
0.002528386,-0.0501,0.5308,0.7454,0.916
0.002747396,-0.0503,0.5347,0.7540,0.926
0.002957344,-0.0503,0.5394,0.7623,0.935
0.003130886,-0.0474,0.5447,0.7718,0.946
0.004037344,-0.0405,0.5474,0.7830,0.956
0.010095678,-0.0317,0.5486,0.7928,0.965
0.010601928,-0.0247,0.5516,0.8009,0.973
0.011853073,-0.0188,0.5547,0.8101,0.982
0.013943125,-0.0103,0.5569,0.8204,0.992
0.016252136,-0.0012,0.5572,0.8297,0.999
0.018242917,0.0085,0.5572,0.8414,1.009
0.020799688,0.0188,0.5577,0.8551,1.021
0.022925782,0.0291,0.5582,0.8702,1.034
0.02563375,0.0378,0.5574,0.8851,1.047
0.027589896,0.0422,0.5569,0.8990,1.058
0.030056928,0.0396,0.5589,0.9102,1.069
0.031939792,0.0361,0.5611,0.9173,1.076
0.03444948,0.0356,0.5594,0.9203,1.078
0.036689844,0.0349,0.5555,0.9247,1.079
0.039513282,0.0354,0.5508,0.9337,1.085
0.043468334,0.0374,0.5440,0.9459,1.092
0.044821303,0.0393,0.5377,0.9579,1.099
0.046915938,0.0371,0.5333,0.9579,1.097
0.04913823,0.0303,0.5306,0.9479,1.087
0.050939896,0.0195,0.5279,0.9371,1.076
0.053377813,0.0090,0.5230,0.9315,1.068
0.056522709,0.0017,0.5193,0.9225,1.059
0.059088282,-0.0076,0.5179,0.9073,1.045
0.06107875,-0.0112,0.5123,0.8963,1.032
0.063128334,-0.0100,0.5032,0.8900,1.022
0.064958855,-0.0142,0.4932,0.8827,1.011
0.067645782,-0.0200,0.4830,0.8756,1.000
0.069766146,-0.0227,0.4761,0.8724,0.994
0.072127136,-0.0215,0.4673,0.8729,0.990
0.078588178,-0.0190,0.4588,0.8790,0.992
0.079215678,-0.0166,0.4539,0.8805,0.991
0.079670365,-0.0254,0.4563,0.8761,0.988
0.081948698,-0.0386,0.4632,0.8665,0.983
0.083903125,-0.0371,0.4607,0.8487,0.966
0.08626125,-0.0264,0.4498,0.8270,0.942
0.088751198,-0.0071,0.4471,0.8236,0.937
0.091256459,0.0168,0.4576,0.8363,0.953
0.094222709,0.0337,0.4690,0.8458,0.968
0.096244219,0.0200,0.4798,0.8495,0.976
0.098389115,0.0020,0.4805,0.8531,0.979
0.100014844,-0.0024,0.4754,0.8653,0.987
0.102342813,-0.0056,0.4688,0.8817,0.999
0.104759688,0.0032,0.4515,0.8944,1.002
0.109586407,0.0007,0.4368,0.9017,1.002
0.110105678,-0.0217,0.4366,0.8944,0.995
0.112155625,-0.0510,0.4449,0.8719,0.980
0.115581823,-0.0774,0.4507,0.8568,0.971
0.116578282,-0.0913,0.4529,0.8621,0.978
0.118994688,-0.1111,0.4593,0.8722,0.992
0.121807136,-0.1858,0.4798,0.8270,0.974
0.124546042,-0.2403,0.4942,0.7850,0.958
0.126671094,-0.2388,0.4927,0.7970,0.967
0.129462188,-0.2447,0.4981,0.8077,0.980
0.13103599,-0.2534,0.5120,0.8162,0.996
0.133351928,-0.2600,0.5240,0.8260,1.012
0.135135365,-0.2608,0.5286,0.8358,1.023
0.13803875,-0.2610,0.5306,0.8429,1.030
0.141178907,-0.2569,0.5328,0.8512,1.036
0.142656875,-0.2498,0.5362,0.8614,1.045
0.145491615,-0.2398,0.5379,0.8724,1.053
0.14727073,-0.2268,0.5364,0.8934,1.066
