time,gFx,gFy,gFz,TgF
8.37135E-4,-0.0474,0.3995,0.9855,1.064
0.001282448,-0.0454,0.3951,0.9845,1.062
0.001577187,-0.0432,0.3897,0.9881,1.063
0.001920885,-0.0388,0.3860,0.9898,1.063
0.00453401,-0.0308,0.3819,0.9833,1.055
0.007193906,-0.0230,0.3785,0.9767,1.048
0.010161198,-0.0183,0.3765,0.9706,1.041
0.011395573,-0.0173,0.3755,0.9630,1.034
0.013925417,-0.0195,0.3719,0.9554,1.025
0.015867708,-0.0212,0.3650,0.9498,1.018
0.018245469,-0.0212,0.3582,0.9449,1.011
0.020471615,-0.0237,0.3550,0.9369,1.002
0.023410781,-0.0237,0.3521,0.9276,0.992
0.027564635,-0.0205,0.3484,0.9188,0.983
0.028019635,-0.0208,0.3457,0.9107,0.974
0.030489635,-0.0271,0.3457,0.9068,0.971
0.032230208,-0.0449,0.3506,0.8978,0.965
0.034582187,-0.0642,0.3565,0.8800,0.952
0.037137812,-0.0647,0.3528,0.8758,0.946
0.039433437,-0.0571,0.3467,0.8873,0.954
0.043889687,-0.0562,0.3538,0.8954,0.964
0.047341406,-0.0606,0.3704,0.8971,0.972
0.047918698,-0.0657,0.3799,0.9100,0.988
0.048416042,-0.0598,0.3821,0.9293,1.007
0.050712187,-0.0486,0.3863,0.9388,1.016
0.053124427,-0.0471,0.3916,0.9447,1.024
0.05540026,-0.0525,0.3973,0.9503,1.031
0.057814479,-0.0547,0.4007,0.9559,1.038
0.06415375,-0.0532,0.4021,0.9610,1.043
0.06469224,-0.0713,0.4205,0.9505,1.042
0.06512599,-0.0872,0.4405,0.9308,1.033
0.067263021,-0.0899,0.4402,0.9137,1.018
0.070321927,-0.1016,0.4297,0.9181,1.019
0.072227083,-0.1270,0.4288,0.9237,1.026
0.075001615,-0.1538,0.4390,0.9073,1.020
0.077560677,-0.1738,0.4405,0.9027,1.019
0.079977448,-0.2007,0.4473,0.9044,1.029
0.08154901,-0.2180,0.4593,0.8971,1.031
0.084544948,-0.2366,0.4695,0.8792,1.024
0.086453177,-0.2483,0.4703,0.8719,1.021
0.089146042,-0.2615,0.4717,0.8736,1.027
0.09101599,-0.2823,0.4844,0.8685,1.034
0.093412031,-0.2810,0.4854,0.8692,1.034
0.095802969,-0.2735,0.4805,0.8702,1.031
0.098091875,-0.2583,0.4773,0.8668,1.023
0.100088333,-0.2393,0.4778,0.8609,1.013
0.103425885,-0.2134,0.4759,0.8568,1.003
0.10530599,-0.1900,0.4708,0.8538,0.993
0.108054948,-0.1846,0.4703,0.8463,0.986
0.116081875,-0.1782,0.4703,0.8404,0.979
0.117085937,-0.1687,0.4661,0.8463,0.981
0.117330208,-0.1643,0.4585,0.8558,0.985
0.11752974,-0.1709,0.4522,0.8563,0.983
0.119489792,-0.1707,0.4483,0.8636,0.988
0.121853646,-0.1607,0.4436,0.8800,0.998
0.12413849,-0.1441,0.4385,0.8927,1.005
0.129947135,-0.1267,0.4341,0.8978,1.005
0.130347969,-0.1260,0.4322,0.8880,0.996
0.130538125,-0.1362,0.4329,0.8768,0.987
0.132963958,-0.1426,0.4307,0.8770,0.987
0.135556979,-0.1421,0.4246,0.8795,0.987
0.137602187,-0.1394,0.4195,0.8778,0.983
0.139995833,-0.1343,0.4158,0.8761,0.979
0.142880312,-0.1306,0.4112,0.8783,0.979
0.145425156,-0.1272,0.4068,0.8853,0.983
0.146960417,-0.1216,0.4034,0.8946,0.989
0.149228489,-0.1172,0.3995,0.8993,0.991
0.152135417,-0.1157,0.3968,0.9010,0.991
0.154668385,-0.1172,0.3943,0.9044,0.994
0.156958542,-0.1174,0.3914,0.9105,0.998
0.159355833,-0.1148,0.3887,0.9154,1.001
0.161804375,-0.1082,0.3853,0.9195,1.003
0.163610469,-0.0982,0.3807,0.9247,1.005
0.165622344,-0.0913,0.3755,0.9266,1.004
0.168421562,-0.0874,0.3714,0.9254,1.001
0.17029776,-0.0840,0.3682,0.9220,0.996
0.172637864,-0.0806,0.3655,0.9195,0.993
0.175604167,-0.0747,0.3621,0.9195,0.991
0.177906823,-0.0664,0.3606,0.9190,0.989
0.179905521,-0.0564,0.3611,0.9195,0.990
0.182227187,-0.0466,0.3619,0.9205,0.990
0.1848825,-0.0347,0.3621,0.9222,0.991
0.187226354,-0.0259,0.3616,0.9266,0.995
0.189558542,-0.0215,0.3645,0.9271,0.996
0.192459948,-0.0164,0.3667,0.9278,0.998
0.194564635,-0.0117,0.3665,0.9327,1.002
0.196766302,-0.0068,0.3665,0.9344,1.004
0.198524739,-0.0034,0.3662,0.9332,1.003
0.201415,-0.0007,0.3667,0.9315,1.001
0.203973281,0.0029,0.3658,0.9291,0.998
0.206015833,0.0051,0.3645,0.9225,0.992
0.208464375,0.0059,0.3645,0.9154,0.985
0.210916875,0.0068,0.3621,0.9107,0.980
0.212873021,0.0081,0.3599,0.9037,0.973
0.214925781,0.0098,0.3584,0.8976,0.967
0.217098854,0.0122,0.3567,0.8929,0.962
0.219458958,0.0144,0.3565,0.8880,0.957
0.222382448,0.0149,0.3562,0.8851,0.954
0.22634276,0.0168,0.3560,0.8831,0.952
0.227230052,0.0188,0.3543,0.8802,0.949
0.229839479,0.0212,0.3536,0.8807,0.949
0.231367239,0.0222,0.3540,0.8853,0.954
0.234180937,0.0225,0.3521,0.8883,0.956
0.236369792,0.0249,0.3509,0.8907,0.958
0.238850885,0.0254,0.3511,0.8951,0.962
0.241665417,0.0264,0.3482,0.9002,0.966
0.244101458,0.0278,0.3445,0.9027,0.967
0.245560052,0.0273,0.3438,0.9046,0.968
0.24779026,0.0266,0.3416,0.9081,0.971
0.250094844,0.0242,0.3384,0.9112,0.972
0.252590156,0.0212,0.3369,0.9139,0.974
0.254746198,0.0181,0.3345,0.9176,0.977
0.258278854,0.0151,0.3313,0.9217,0.980
0.259957396,0.0129,0.3289,0.9269,0.984
0.262522396,0.0083,0.3272,0.9320,0.988
0.264295885,0.0027,0.3260,0.9386,0.994
0.267046458,-0.0029,0.3235,0.9481,1.002
0.269629375,-0.0098,0.3203,0.9608,1.013
0.272106927,-0.0166,0.3179,0.9762,1.027
0.274780208,-0.0234,0.3155,0.9920,1.041
0.276695781,-0.0278,0.3140,1.0116,1.060
0.279041823,-0.0310,0.3133,1.0301,1.077
0.280945885,-0.0349,0.3142,1.0460,1.093
0.28362125,-0.0366,0.3174,1.0624,1.109
0.286000156,-0.0383,0.3208,1.0775,1.125
0.288128125,-0.0408,0.3252,1.0907,1.139
0.289983385,-0.0427,0.3296,1.1009,1.150
0.292526354,-0.0466,0.3316,1.1080,1.158
0.294838333,-0.0518,0.3352,1.1144,1.165
0.296790521,-0.0557,0.3384,1.1195,1.171
0.299143542,-0.0591,0.3406,1.1212,1.173
0.302348489,-0.0620,0.3431,1.1212,1.174
0.304496719,-0.0652,0.3443,1.1207,1.174
0.306857083,-0.0681,0.3455,1.1193,1.173
0.309577396,-0.0696,0.3465,1.1166,1.171
0.311482864,-0.0686,0.3482,1.1139,1.169
0.313628437,-0.0676,0.3506,1.1112,1.167
0.316398229,-0.0674,0.3528,1.1080,1.165
0.318818125,-0.0664,0.3545,1.1036,1.161
0.320980625,-0.0659,0.3557,1.0995,1.157
0.323735729,-0.0654,0.3584,1.0939,1.153
0.326147292,-0.0647,0.3594,1.0887,1.148
0.328498854,-0.0635,0.3601,1.0878,1.148
