time,gFx,gFy,gFz,TgF
0.001491354,0.0342,0.1914,0.9527,0.972
0.001870937,0.0308,0.1912,0.9657,0.985
0.002089583,0.0283,0.1878,0.9779,0.996
0.004047708,0.0244,0.1868,0.9845,1.002
0.006217552,0.0193,0.1868,0.9869,1.005
0.01305026,0.0144,0.1848,0.9896,1.007
0.013435833,0.0103,0.1824,0.9935,1.010
0.013620781,0.0066,0.1819,0.9942,1.011
0.015431666,0.0054,0.1807,0.9964,1.013
0.017575416,0.0117,0.1763,1.0038,1.019
0.020102552,0.0176,0.1719,1.0094,1.024
0.022363541,0.0195,0.1670,1.0165,1.030
0.02446177,0.0190,0.1660,1.0255,1.039
0.028105833,0.0198,0.1668,1.0287,1.042
0.029625104,0.0198,0.1655,1.0321,1.045
0.032316302,0.0171,0.1643,1.0414,1.054
0.034541145,0.0078,0.1660,1.0504,1.063
0.036935156,-0.0164,0.1721,1.0416,1.056
0.039204218,-0.0461,0.1800,1.0133,1.030
0.04134526,-0.0613,0.1851,0.9916,1.011
0.044202135,-0.0593,0.1846,0.9879,1.007
0.046780156,-0.0437,0.1780,0.9996,1.016
0.048849947,-0.0144,0.1629,1.0323,1.045
0.05156276,0.0161,0.1465,1.0785,1.089
0.053490781,0.0361,0.1331,1.1197,1.128
0.054930729,0.0432,0.1262,1.1398,1.148
0.057294531,0.0381,0.1272,1.1429,1.151
0.060603645,0.0327,0.1309,1.1417,1.150
0.063020416,0.0335,0.1323,1.1366,1.145
0.065308802,0.0398,0.1309,1.1261,1.134
0.067496979,0.0510,0.1277,1.1175,1.126
0.069783125,0.0654,0.1255,1.1122,1.121
0.072084375,0.0762,0.1265,1.0978,1.108
0.07430875,0.0837,0.1245,1.0841,1.094
0.076784218,0.0899,0.1223,1.0731,1.084
0.078628906,0.0874,0.1226,1.0528,1.064
0.081540364,0.0818,0.1275,1.0255,1.037
0.083627656,0.0784,0.1348,1.0013,1.013
0.08597151,0.0742,0.1384,0.9820,0.995
0.088393802,0.0723,0.1402,0.9671,0.980
0.090869375,0.0728,0.1426,0.9520,0.965
0.092807395,0.0701,0.1463,0.9320,0.946
0.095604843,0.0623,0.1504,0.9173,0.932
0.097336666,0.0488,0.1560,0.9027,0.917
0.099666822,0.0400,0.1592,0.8922,0.907
0.102037291,0.0403,0.1611,0.8949,0.910
0.104338385,0.0425,0.1665,0.8963,0.913
0.107207343,0.0437,0.1709,0.8985,0.916
0.109107604,0.0432,0.1726,0.9007,0.918
0.111723489,0.0430,0.1734,0.9015,0.919
0.114125833,0.0376,0.1753,0.9022,0.920
0.116437083,0.0286,0.1787,0.8963,0.914
0.11874125,0.0217,0.1807,0.8905,0.909
0.121469895,0.0161,0.1814,0.8929,0.911
0.124248281,0.0132,0.1807,0.8988,0.917
0.126350677,0.0110,0.1760,0.8973,0.914
0.128608437,0.0063,0.1675,0.9046,0.920
0.130932239,0.0002,0.1587,0.9173,0.931
0.13303177,-0.0044,0.1516,0.9300,0.942
0.135261302,-0.0098,0.1460,0.9471,0.958
0.137712031,-0.0149,0.1402,0.9742,0.984
0.139395416,-0.0190,0.1323,1.0091,1.018
0.141850156,-0.0352,0.1221,1.0526,1.060
0.144637916,-0.0598,0.1157,1.1227,1.130
0.147483281,-0.0779,0.1091,1.1967,1.204
0.149247083,-0.0850,0.0986,1.2435,1.250
0.152647864,-0.0867,0.0903,1.2594,1.266
0.15392276,-0.0813,0.0825,1.2594,1.265
0.156228072,-0.0657,0.0754,1.2516,1.256
0.158344895,-0.0493,0.0667,1.2264,1.229
0.161880677,-0.0354,0.0588,1.1954,1.197
0.164284218,-0.0217,0.0547,1.1737,1.175
0.166841979,-0.0054,0.0505,1.1569,1.158
0.167942395,0.0083,0.0479,1.1422,1.143
0.170297916,0.0156,0.0464,1.1256,1.127
0.172724218,0.0232,0.0425,1.1068,1.108
0.175731718,0.0320,0.0398,1.0875,1.089
0.177485677,0.0418,0.0378,1.0682,1.070
0.180470156,0.0530,0.0344,1.0502,1.052
0.182124166,0.0637,0.0315,1.0355,1.038
0.183789895,0.0740,0.0310,1.0211,1.024
0.186980416,0.0850,0.0320,1.0067,1.011
0.189154843,0.0962,0.0344,0.9930,0.998
0.192697031,0.1055,0.0342,0.9784,0.985
