time,gFx,gFy,gFz,TgF
6.762894008,-0.0715,0.1680,1.0030,1.020
6.763536872,-0.0625,0.1665,0.9955,1.011
6.763874893,-0.0566,0.1665,0.9989,1.014
6.764185102,-0.0557,0.1651,0.9991,1.014
6.766445987,-0.0549,0.1609,0.9911,1.006
6.769037341,-0.0557,0.1619,0.9806,0.995
6.771461195,-0.0652,0.1660,0.9718,0.988
6.773727654,-0.0798,0.1724,0.9635,0.982
6.776309529,-0.0918,0.1795,0.9525,0.974
6.778467497,-0.1028,0.1839,0.9439,0.967
6.780754477,-0.1099,0.1839,0.9425,0.967
6.783103383,-0.1101,0.1819,0.9447,0.968
6.788843227,-0.1106,0.1819,0.9461,0.970
6.789338904,-0.1128,0.1821,0.9503,0.974
6.790674945,-0.1089,0.1812,0.9564,0.979
6.792754685,-0.0979,0.1785,0.9605,0.982
6.795112445,-0.0879,0.1768,0.9562,0.976
6.797314945,-0.0808,0.1763,0.9491,0.969
6.799682133,-0.0759,0.1787,0.9464,0.966
6.802675883,-0.0750,0.1817,0.9395,0.960
6.804137602,-0.0723,0.1819,0.9339,0.954
6.807210883,-0.0669,0.1839,0.9356,0.956
6.809103122,-0.0667,0.1870,0.9356,0.956
6.810899164,-0.0723,0.1885,0.9305,0.952
6.81318432,-0.0779,0.1897,0.9266,0.949
6.815968279,-0.0796,0.1904,0.9322,0.955
6.818840466,-0.0779,0.1904,0.9474,0.969
6.820622133,-0.0764,0.1892,0.9627,0.984
6.823482706,-0.0737,0.1856,0.9750,0.995
6.825379529,-0.0701,0.1824,0.9815,1.001
6.82770156,-0.0630,0.1795,0.9869,1.005
6.830182758,-0.0503,0.1697,0.9879,1.004
6.83238557,-0.0371,0.1633,0.9811,0.995
6.835283904,-0.0295,0.1704,0.9754,0.991
6.837001195,-0.0335,0.1824,0.9679,0.985
6.839748852,-0.0444,0.1870,0.9605,0.980
6.841353383,-0.0537,0.1839,0.9608,0.980
6.843653018,-0.0630,0.1829,0.9657,0.985
6.846015727,-0.0735,0.1843,0.9681,0.988
6.848233539,-0.0823,0.1858,0.9713,0.992
6.850823018,-0.0918,0.1868,0.9754,0.997
6.853302237,-0.1038,0.1865,0.9808,1.004
6.856136143,-0.1160,0.1858,0.9876,1.012
6.858345258,-0.1272,0.1863,0.9913,1.017
6.86050656,-0.1343,0.1892,0.9947,1.021
6.862815206,-0.1380,0.1931,1.0006,1.028
6.865207602,-0.1375,0.1944,1.0028,1.031
6.86749932,-0.1360,0.1929,1.0067,1.034
6.86972781,-0.1360,0.1902,1.0143,1.041
6.872580206,-0.1355,0.1892,1.0191,1.045
6.874659997,-0.1323,0.1843,1.0206,1.046
6.876916143,-0.1250,0.1773,1.0204,1.043
6.879304477,-0.1150,0.1716,1.0213,1.042
6.881125414,-0.1072,0.1668,1.0204,1.039
6.885566977,-0.1030,0.1641,1.0130,1.031
6.886223279,-0.1043,0.1670,1.0057,1.025
6.888554945,-0.1133,0.1719,0.9994,1.020
6.891135987,-0.1265,0.1753,0.9947,1.018
6.893230362,-0.1287,0.1760,0.9920,1.016
6.89611057,-0.1270,0.1782,0.9928,1.017
6.898421508,-0.1284,0.1809,1.0003,1.025
6.90034432,-0.1257,0.1812,1.0123,1.036
6.902699997,-0.1192,0.1763,1.0138,1.036
6.905376508,-0.1050,0.1685,1.0082,1.028
6.907413279,-0.0947,0.1682,1.0072,1.026
6.909703487,-0.0928,0.1731,1.0062,1.025
6.912093695,-0.0938,0.1787,0.9979,1.018
6.914429424,-0.0974,0.1807,0.9842,1.005
6.916985779,-0.1025,0.1797,0.9806,1.002
6.919092862,-0.1069,0.1763,0.9879,1.009
6.921481768,-0.1074,0.1785,0.9979,1.019
6.923466716,-0.1047,0.1814,1.0057,1.027
6.925755831,-0.1011,0.1790,1.0104,1.031
6.928083904,-0.0945,0.1770,1.0179,1.038
6.930419008,-0.0881,0.1782,1.0284,1.047
6.933503591,-0.0840,0.1814,1.0353,1.054
6.935687185,-0.0801,0.1802,1.0355,1.054
6.938518227,-0.0767,0.1790,1.0328,1.051
6.940258539,-0.0735,0.1802,1.0282,1.046
6.94256807,-0.0718,0.1787,1.0194,1.037
6.944906195,-0.0676,0.1731,1.0101,1.027
6.947237185,-0.0625,0.1668,1.0035,1.019
6.950076352,-0.0579,0.1680,1.0030,1.019
6.951917602,-0.0503,0.1716,1.0043,1.020
